MANHATTAN CONDOMINIUM PROPERTY Boro-Block-Lot,MANHATTAN CONDOMINIUM PROPERTY Condo Section,MANHATTAN CONDOMINIUM PROPERTY Address,Borough,Postcode,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA,MANHATTAN CONDOMINIUM PROPERTY Neighborhood,MANHATTAN CONDOMINIUM PROPERTY Building Classification,MANHATTAN CONDOMINIUM PROPERTY Total Units,MANHATTAN CONDOMINIUM PROPERTY Year Built,MANHATTAN CONDOMINIUM PROPERTY Gross SqFt,MANHATTAN CONDOMINIUM PROPERTY Est. Gross Income,MANHATTAN CONDOMINIUM PROPERTY Gross Income per SqFt,MANHATTAN CONDOMINIUM PROPERTY Full Market Value,MANHATTAN CONDOMINIUM PROPERTY Market Value per SqFt, COMPARABLE RENTAL 1 Boro-Block-Lot,COMPARABLE RENTAL 1 Address,COMPARABLE RENTAL 1  Neighborhood,COMPARABLE RENTAL 1  Building Classification,COMPARABLE RENTAL 1  Total Units,COMPARABLE RENTAL 1  Year Built,COMPARABLE RENTAL 1  Gross SqFt,COMPARABLE RENTAL 1  Est. Gross Income,COMPARABLE RENTAL 1  Gross Income per SqFt,COMPARABLE RENTAL 1 Full Market Value,COMPARABLE RENTAL 1  Market Value per SqFt,COMPARABLE RENTAL 1  Dist. from Coop in miles,COMPARABLE RENTAL 2  Boro-Block-Lot,COMPARABLE RENTAL 2  Address,COMPARABLE RENTAL 2  Neighborhood,COMPARABLE RENTAL 2  Building Classification,COMPARABLE RENTAL 2  Total Units,COMPARABLE RENTAL 2  Year Built,COMPARABLE RENTAL 2  Gross SqFt,COMPARABLE RENTAL 2  Est. Gross Income,COMPARABLE RENTAL 2  Gross Income per SqFt,COMPARABLE RENTAL 2  Full Market Value,COMPARABLE RENTAL 2  Market Value per SqFt,COMPARABLE RENTAL 2  Dist. from Coop in miles
1-00007-7501,735-R1,1 COENTIES SLIP,1,10004,40.703627,-74.010607,1,1,9,"1,077,806","1,000,077,501",Battery Park City-Lower Manhattan                                          ,FINANCIAL,R9-CONDOPS,42,"1,920","36,500","1,222,750",33.5,"5,810,000",159,1-00097-0024,225 FRONT STREET,SOUTHBRIDGE,C7-WALK-UP,12,"1,900","15,400","654,000",42.5,"3,280,000",213,0.55,1-00097-0030,36 PECK SLIP,SOUTHBRIDGE,C7-WALK-UP,12,"1,900","17,475","732,000",41.9,"3,670,000",210,0.55
1-00015-7502,1557-R1,20 WEST STREET,1,10004,40.706358,-74.016151,1,1,13,"1,087,243","1,000,157,502",Battery Park City-Lower Manhattan                                          ,FINANCIAL,R4-ELEVATOR,282,"1,930","249,076","9,464,888",38,"47,500,002",191,1-00042-0022,10 LIBERTY STREET,FINANCIAL,D8-ELEVATOR,288,"2,002","387,000","13,579,420",35.1,"65,000,000",168,0.45,1-00069-0018,2 GOLD STREET,FINANCIAL,D8-ELEVATOR,650,"2,003","627,330","25,002,565",39.9,"125,000,000",199,0.5
1-00016-7501,308-R1,377 RECTOR PLACE,1,10280,40.709506,-74.018002,1,1,"31,704","1,000,061","1,000,167,501",Battery Park City-Lower Manhattan                                          ,TRIBECA,R4-ELEVATOR,239,"1,985","219,495","7,682,325",35,"36,800,005",168,1-00016-0100,345 SOUTH END AVENUE,TRIBECA,D6-ELEVATOR,"1,720","1,983","1,881,621","57,968,000",30.8,"278,000,000",148,0,1-00016-0210,399 CHAMBERS STREET,TRIBECA,D8-ELEVATOR,341,"1,998","357,000","13,358,015",37.4,"67,000,000",188,0
1-00016-7502,313-R1,320 ALBANY STREET,1,10280,40.710165,-74.016751,1,1,"31,704","1,000,301","1,000,167,502",Battery Park City-Lower Manhattan                                          ,TRIBECA,R4-ELEVATOR,133,"1,986","139,719","4,890,165",35,"23,399,997",167,1-00016-0100,345 SOUTH END AVENUE,TRIBECA,D6-ELEVATOR,"1,720","1,983","1,881,621","57,968,000",30.8,"278,000,000",148,0,1-00016-0210,399 CHAMBERS STREET,TRIBECA,D8-ELEVATOR,341,"1,998","357,000","13,358,015",37.4,"67,000,000",188,0
1-00016-7503,385-R1,250 SOUTH END AVENUE,1,10280,40.709709,-74.01656,1,1,"31,704","1,065,089","1,000,167,503",Battery Park City-Lower Manhattan                                          ,TRIBECA,R4-ELEVATOR,109,"1,985","105,000","3,675,000",35,"17,600,009",168,1-00016-0100,345 SOUTH END AVENUE,TRIBECA,D6-ELEVATOR,"1,720","1,983","1,881,621","57,968,000",30.8,"278,000,000",148,0,1-00016-0210,399 CHAMBERS STREET,TRIBECA,D8-ELEVATOR,341,"1,998","357,000","13,358,015",37.4,"67,000,000",188,0
1-00016-7504,360-R1,300 ALBANY STREET,1,10280,40.710118,-74.016574,1,1,"31,704","1,000,436","1,000,167,504",Battery Park City-Lower Manhattan                                          ,TRIBECA,R4-ELEVATOR,107,"1,986","87,479","3,061,765",35,"14,700,006",168,1-00016-0100,345 SOUTH END AVENUE,TRIBECA,D6-ELEVATOR,"1,720","1,983","1,881,621","57,968,000",30.8,"278,000,000",148,0,1-00016-0210,399 CHAMBERS STREET,TRIBECA,D8-ELEVATOR,341,"1,998","357,000","13,358,015",37.4,"67,000,000",188,0
1-00016-7505,371-R1,380 RECTOR PLACE,1,10280,40.709311,-74.017764,1,1,"31,704","1,000,544","1,000,167,505",Battery Park City-Lower Manhattan                                          ,TRIBECA,R4-ELEVATOR,247,"1,987","255,845","8,954,575",35,"42,900,004",168,1-00016-0100,345 SOUTH END AVENUE,TRIBECA,D6-ELEVATOR,"1,720","1,983","1,881,621","57,968,000",30.8,"278,000,000",148,0,1-00016-0210,399 CHAMBERS STREET,TRIBECA,D8-ELEVATOR,341,"1,998","357,000","13,358,015",37.4,"67,000,000",188,0
1-00016-7506,398-R1,280 RECTOR PLACE,1,10280,40.708921,-74.016505,1,1,"31,704","1,065,199","1,000,167,506",Battery Park City-Lower Manhattan                                          ,TRIBECA,R4-ELEVATOR,121,"1,985","106,129","3,714,515",35,"17,799,993",168,1-00016-0100,345 SOUTH END AVENUE,TRIBECA,D6-ELEVATOR,"1,720","1,983","1,881,621","57,968,000",30.8,"278,000,000",148,0,1-00016-0210,399 CHAMBERS STREET,TRIBECA,D8-ELEVATOR,341,"1,998","357,000","13,358,015",37.4,"67,000,000",188,0
1-00016-7507,450-R1,300 RECTOR PLACE,1,10280,40.709097,-74.017104,1,1,"31,704","1,065,321","1,000,167,507",Battery Park City-Lower Manhattan                                          ,TRIBECA,R4-ELEVATOR,154,"1,986","126,008","4,410,280",35,"21,099,999",167,1-00016-0100,345 SOUTH END AVENUE,TRIBECA,D6-ELEVATOR,"1,720","1,983","1,881,621","57,968,000",30.8,"278,000,000",148,0,1-00016-0210,399 CHAMBERS STREET,TRIBECA,D8-ELEVATOR,341,"1,998","357,000","13,358,015",37.4,"67,000,000",188,0
1-00016-7508,498-R1,200 RECTOR PLACE,1,10280,40.708809,-74.016116,1,1,"31,704","1,065,475","1,000,167,508",Battery Park City-Lower Manhattan                                          ,TRIBECA,R4-ELEVATOR,546,"1,987","586,224","20,517,840",35,"98,299,985",168,1-00016-0100,345 SOUTH END AVENUE,TRIBECA,D6-ELEVATOR,"1,720","1,983","1,881,621","57,968,000",30.8,"278,000,000",148,0,1-00016-0210,399 CHAMBERS STREET,TRIBECA,D8-ELEVATOR,341,"1,998","357,000","13,358,015",37.4,"67,000,000",188,0
1-00016-7509,621-R1,21 SOUTH END AVENUE,1,10280,40.708114,-74.01763,1,1,"31,704","1,075,698","1,000,167,509",Battery Park City-Lower Manhattan                                          ,TRIBECA,R4-ELEVATOR,182,"1,988","208,281","7,289,835",35,"34,899,998",168,1-00016-0100,345 SOUTH END AVENUE,TRIBECA,D6-ELEVATOR,"1,720","1,983","1,881,621","57,968,000",30.8,"278,000,000",148,0,1-00016-0210,399 CHAMBERS STREET,TRIBECA,D8-ELEVATOR,341,"1,998","357,000","13,358,015",37.4,"67,000,000",188,0
1-00016-7510,779-R1,99 BATTERY PLACE,1,10280,40.707977,-74.016729,1,1,"31,704","1,080,815","1,000,167,510",Battery Park City-Lower Manhattan                                          ,TRIBECA,R4-ELEVATOR,293,"1,988","341,489","11,952,115",35,"57,300,016",168,1-00016-0100,345 SOUTH END AVENUE,TRIBECA,D6-ELEVATOR,"1,720","1,983","1,881,621","57,968,000",30.8,"278,000,000",148,0,1-00016-0210,399 CHAMBERS STREET,TRIBECA,D8-ELEVATOR,341,"1,998","357,000","13,358,015",37.4,"67,000,000",188,0
1-00016-7511,780-R1,2 SOUTH END AVENUE,1,10280,40.708037,-74.017656,1,1,"31,704","1,082,813","1,000,167,511",Battery Park City-Lower Manhattan                                          ,TRIBECA,R4-ELEVATOR,163,"1,990","156,260","5,469,100",35,"26,200,003",168,1-00016-0100,345 SOUTH END AVENUE,TRIBECA,D6-ELEVATOR,"1,720","1,983","1,881,621","57,968,000",30.8,"278,000,000",148,0,1-00016-0210,399 CHAMBERS STREET,TRIBECA,D8-ELEVATOR,341,"1,998","357,000","13,358,015",37.4,"67,000,000",188,0
1-00016-7513,1217-R1,25 BATTERY PLACE,1,10280,40.705581,-74.017969,1,1,"31,704","1,085,789","1,000,167,513",Battery Park City-Lower Manhattan                                          ,TRIBECA,R4-ELEVATOR,117,"2,003","267,723","9,370,305",35,"44,900,000",168,1-00016-0100,345 SOUTH END AVENUE,TRIBECA,D6-ELEVATOR,"1,720","1,983","1,881,621","57,968,000",30.8,"278,000,000",148,0,1-00016-0210,399 CHAMBERS STREET,TRIBECA,D8-ELEVATOR,341,"1,998","357,000","13,358,015",37.4,"67,000,000",188,0
1-00016-7514,1623-R1,30 UNKNOWN,1,,,,,,,,,,TRIBECA,R4-ELEVATOR,234,"2,006","431,824","15,761,576",36.5,"77,600,002",180,1-00016-0100,345 SOUTH END AVENUE,TRIBECA,D6-ELEVATOR,"1,720","1,983","1,881,621","57,968,000",30.8,"278,000,000",148,0,1-00016-0210,399 CHAMBERS STREET,TRIBECA,D8-ELEVATOR,341,"1,998","357,000","13,358,015",37.4,"67,000,000",188,0
1-00016-7515,1848-R1,225 RECTOR PLACE,1,10280,40.70927,-74.016487,1,1,"31,704","1,000,053","1,000,167,515",Battery Park City-Lower Manhattan                                          ,TRIBECA,R4-ELEVATOR,304,"1,985","257,848","9,024,680",35,"43,199,949",168,1-00016-0100,345 SOUTH END AVENUE,TRIBECA,D6-ELEVATOR,"1,720","1,983","1,881,621","57,968,000",30.8,"278,000,000",148,0,1-00016-0210,399 CHAMBERS STREET,TRIBECA,D8-ELEVATOR,341,"1,998","357,000","13,358,015",37.4,"67,000,000",188,0
1-00017-7502,1192-R1,33 RECTOR STREET,1,10006,40.708354,-74.014868,1,1,13,"1,000,792","1,000,177,502",Battery Park City-Lower Manhattan                                          ,FINANCIAL,R4-ELEVATOR,13,"1,920","37,236","1,303,260",35,"6,240,000",168,1-00065-0010,9 MAIDEN LANE,FINANCIAL,D5-ELEVATOR,69,"1,900","58,354","1,955,948",33.5,"9,370,000",161,0.3,1-00053-0033,110 GREENWICH STREET,FINANCIAL,D8-ELEVATOR,60,"1,929","57,941","2,231,133",38.5,"11,200,000",193,0.05
1-00018-7501,1741-R1,13 RECTOR STREET,1,10006,40.707997,-74.013713,1,1,13,"1,000,794","1,000,187,501",Battery Park City-Lower Manhattan                                          ,FINANCIAL,R4-ELEVATOR,452,"1,956","316,810","11,088,350",35,"53,099,990",168,1-00042-0022,10 LIBERTY STREET,FINANCIAL,D8-ELEVATOR,288,"2,002","387,000","13,579,420",35.1,"65,000,000",168,0.35,1-00069-0018,2 GOLD STREET,FINANCIAL,D8-ELEVATOR,650,"2,003","627,330","25,002,565",39.9,"125,000,000",199,0.4
1-00026-7501,1480-R1,15 BROAD STREET,1,10005,40.706531,-74.011022,1,1,7,"1,078,988","1,000,267,501",Battery Park City-Lower Manhattan                                          ,FINANCIAL,R4-ELEVATOR,382,"1,914","648,926","25,308,114",39,"126,999,981",196,1-00069-0018,2 GOLD STREET,FINANCIAL,D8-ELEVATOR,650,"2,003","627,330","25,002,565",39.9,"125,000,000",199,0.2,1-00075-0001,127 JOHN STREET,FINANCIAL,D8-ELEVATOR,579,"1,973","541,000","24,362,905",45,"122,000,000",226,0.3
1-01049-7501,1311-R2,80 COLUMBUS CIRCLE,1,10023,40.768406,-73.982076,4,3,145,"1,026,318","1,010,497,501",Lincoln Square                                                             ,MIDTOWN WEST,R4-ELEVATOR,65,"1,955","217,897","12,202,232",56,"61,199,999",281,1-01348-0049,1044 2 AVENUE,MIDTOWN EAST,D9-ELEVATOR,460,"1,975","580,480","31,592,875",54,"158,000,000",272,1.25,,,,,,,,,,,,
1-00027-7501,1424-R1,55 WALL STREET,1,10005,40.706191,-74.009165,1,1,7,"1,000,827","1,000,277,501",Battery Park City-Lower Manhattan                                          ,FINANCIAL,R4-ELEVATOR,107,"1,836","159,544","6,222,216",39,"31,199,996",196,1-00069-0018,2 GOLD STREET,FINANCIAL,D8-ELEVATOR,650,"2,003","627,330","25,002,565",39.9,"125,000,000",199,0.15,1-00075-0001,127 JOHN STREET,FINANCIAL,D8-ELEVATOR,579,"1,973","541,000","24,362,905",45,"122,000,000",226,0.25
1-00028-7501,1590-R1,82 BEAVER STREET,1,10005,40.70536,-74.008602,1,1,7,"1,000,835","1,000,287,501",Battery Park City-Lower Manhattan                                          ,FINANCIAL,R4-ELEVATOR,126,"1,987","81,884","3,029,708",37,"15,199,998",186,1-00053-0033,110 GREENWICH STREET,FINANCIAL,D8-ELEVATOR,60,"1,929","57,941","2,231,133",38.5,"11,200,000",193,0.35,1-00065-0010,9 MAIDEN LANE,FINANCIAL,D5-ELEVATOR,69,"1,900","58,354","1,955,948",33.5,"9,370,000",161,0.3
1-00029-7501,1002-R1,48 BEAVER STREET,1,10004,40.70509,-74.010607,1,1,9,"1,078,997","1,000,297,501",Battery Park City-Lower Manhattan                                          ,FINANCIAL,R9-CONDOPS,40,"1,920","65,396","2,223,464",34,"10,600,000",162,1-00053-0033,110 GREENWICH STREET,FINANCIAL,D8-ELEVATOR,60,"1,929","57,941","2,231,133",38.5,"11,200,000",193,0.3,,,,,,,,,,,,
1-00029-7503,1541-R1,21 SOUTH WILLIAM STREET,1,10004,40.704514,-74.010741,1,1,9,"1,087,244","1,000,297,503",Battery Park City-Lower Manhattan                                          ,FINANCIAL,R4-ELEVATOR,31,"1,900","20,308","751,396",37,"3,770,002",186,1-00053-0033,110 GREENWICH STREET,FINANCIAL,D8-ELEVATOR,60,"1,929","57,941","2,231,133",38.5,"11,200,000",193,0.35,,,,,,,,,,,,
1-00039-7501,122-R1,164 PEARL STREET,1,10005,40.70587,-74.007617,1,1,7,"1,000,884","1,000,397,501",Battery Park City-Lower Manhattan                                          ,FINANCIAL,R4-ELEVATOR,121,"1,956","109,468","3,612,444",33,"17,299,999",158,1-00077-0024,82 FULTON STREET,FINANCIAL,D7-ELEVATOR,208,"1,900","159,000","5,484,019",34.5,"26,300,000",165,0.25,1-00077-0001,87 JOHN STREET,FINANCIAL,D7-ELEVATOR,164,"1,926","160,000","5,506,000",34.4,"26,400,000",165,0.25
1-00041-7501,1054-R1,50 PINE STREET,1,10005,40.706732,-74.00862,1,1,7,"1,001,011","1,000,417,501",Battery Park City-Lower Manhattan                                          ,FINANCIAL,R4-ELEVATOR,20,"1,902","39,607","1,386,245",35,"6,640,000",168,1-00065-0006,21 MAIDEN LANE,FINANCIAL,D6-ELEVATOR,25,"1,900","37,800","1,241,892",32.9,"5,950,000",157,0.2,1-00053-0033,110 GREENWICH STREET,FINANCIAL,D8-ELEVATOR,60,"1,929","57,941","2,231,133",38.5,"11,200,000",193,0.35
1-00041-7503,1186-R1,56 PINE STREET,1,10005,40.706606,-74.008404,1,1,7,"1,001,009","1,000,417,503",Battery Park City-Lower Manhattan                                          ,FINANCIAL,R4-ELEVATOR,90,"1,893","73,507","2,572,745",35,"12,300,003",167,1-00065-0006,21 MAIDEN LANE,FINANCIAL,D6-ELEVATOR,25,"1,900","37,800","1,241,892",32.9,"5,950,000",157,0.2,1-00053-0033,110 GREENWICH STREET,FINANCIAL,D8-ELEVATOR,60,"1,929","57,941","2,231,133",38.5,"11,200,000",193,0.35
1-00053-7501,1572-R1,120 GREENWICH STREET,1,10006,40.709089,-74.013118,1,1,13,"1,001,050","1,000,537,501",Battery Park City-Lower Manhattan                                          ,FINANCIAL,R4-ELEVATOR,102,"1,903","71,985","2,519,475",35,"10,560,787",147,1-00053-0033,110 GREENWICH STREET,FINANCIAL,D8-ELEVATOR,60,"1,929","57,941","2,231,133",38.5,"11,200,000",193,0.04,1-00065-0010,9 MAIDEN LANE,FINANCIAL,D5-ELEVATOR,69,"1,900","58,354","1,955,948",33.5,"9,370,000",161,0.25
1-00065-7501,21-R1,65 NASSAU STREET,1,10038,40.70935,-74.00861,1,1,"1,502","1,001,106","1,000,657,501",Battery Park City-Lower Manhattan                                          ,FINANCIAL,R9-CONDOPS,29,"1,920","28,550","750,000",26.3,"3,430,000",120,1-00065-0010,9 MAIDEN LANE,FINANCIAL,D5-ELEVATOR,69,"1,900","58,354","1,955,948",33.5,"9,370,000",161,0,1-00053-0036,106 GREENWICH STREET,FINANCIAL,C7-WALK-UP,19,"1,900","10,950","366,000",33.4,"1,750,000",160,0.25
1-00068-7501,1648-R1,80 JOHN STREET,1,10038,40.708445,-74.006886,1,1,"1,502","1,001,115","1,000,687,501",Battery Park City-Lower Manhattan                                          ,FINANCIAL,R4-ELEVATOR,145,"1,927","186,512","7,450,000",39.9,"37,399,998",201,1-00068-0016,84 WILLIAM STREET,FINANCIAL,D9-ELEVATOR,124,"1,907","111,184","4,867,077",43.8,"24,400,000",219,0.04,1-00056-0004,90 WEST STREET,FINANCIAL,D5-ELEVATOR,413,"1,908","357,000","12,993,000",36.4,"65,200,000",183,0.4
1-00072-7501,65-R1,170 JOHN STREET,1,10038,40.706076,-74.004202,1,1,"1,502","1,001,143","1,000,727,501",Battery Park City-Lower Manhattan                                          ,FINANCIAL,R4-ELEVATOR,14,"1,982","24,362","850,000",34.9,"4,070,000",167,1-00248-0070,80 RUTGERS SLIP,LOWER EAST SIDE,D9-ELEVATOR,109,"1,987","83,904","1,893,593",22.57,"4,430,000",53,0.8,1-00372-0060,274 EAST 2 STREET,ALPHABET CITY,D7-ELEVATOR,103,"1,997","80,500","2,692,536",33.4,"12,900,000",160,1.65
1-00078-7503,1023-R1,80 NASSAU STREET,1,10038,40.709823,-74.008119,1,1,"1,502","1,001,201","1,000,787,503",Battery Park City-Lower Manhattan                                          ,FINANCIAL,R9-CONDOPS,11,"1,900","31,738","1,100,000",34.7,"5,260,000",166,1-00106-0004,272 WATER STREET,SOUTHBRIDGE,D9-ELEVATOR,14,"1,900","16,424","508,656",31,"2,440,000",149,0.3,1-00053-0033,110 GREENWICH STREET,FINANCIAL,D8-ELEVATOR,60,"1,929","57,941","2,231,133",38.5,"11,200,000",193,0.35
1-00078-7505,1310-R1,39 JOHN STREET,1,10038,40.709356,-74.008159,1,1,"1,502","1,001,200","1,000,787,505",Battery Park City-Lower Manhattan                                          ,FINANCIAL,R9-CONDOPS,14,"1,930","17,122","620,000",36.2,"2,960,000",173,1-00078-0001,135 WILLIAM STREET,FINANCIAL,D7-ELEVATOR,31,"1,905","59,488","1,607,641",27,"7,700,000",129,0.04,1-00106-0004,272 WATER STREET,SOUTHBRIDGE,D9-ELEVATOR,14,"1,900","16,424","508,656",31,"2,440,000",149,0.3
1-00078-7506,1329-R1,102 FULTON STREET,1,10038,40.709642,-74.006619,1,1,"1,502","1,001,196","1,000,787,506",Battery Park City-Lower Manhattan                                          ,FINANCIAL,R4-ELEVATOR,14,"1,910","22,613","824,000",36.4,"4,130,002",183,1-00106-0004,272 WATER STREET,SOUTHBRIDGE,D9-ELEVATOR,14,"1,900","16,424","508,656",31,"2,440,000",149,0.3,,,,,,,,,,,,
1-00078-7507,1627-R1,111 WILLIAM STREET,1,10038,40.708763,-74.007243,1,1,"1,502","1,001,193","1,000,787,507",Battery Park City-Lower Manhattan                                          ,FINANCIAL,R4-ELEVATOR,73,"1,909","89,994","3,275,000",36.4,"16,400,003",182,1-00079-0010,17 JOHN STREET,FINANCIAL,D8-ELEVATOR,116,"1,920","107,243","3,956,253",36.9,"19,800,000",185,0.1,1-00078-0001,135 WILLIAM STREET,FINANCIAL,D7-ELEVATOR,31,"1,905","59,488","1,607,641",27,"7,700,000",129,0
1-00079-7502,1543-R1,130 FULTON STREET,1,10038,40.710372,-74.008062,1,1,"1,502","1,087,245","1,000,797,502",Battery Park City-Lower Manhattan                                          ,FINANCIAL,R4-ELEVATOR,21,"1,900","66,930","2,435,000",36.4,"12,200,002",182,1-00065-0010,9 MAIDEN LANE,FINANCIAL,D5-ELEVATOR,69,"1,900","58,354","1,955,948",33.5,"9,370,000",161,0.05,1-00078-0001,135 WILLIAM STREET,FINANCIAL,D7-ELEVATOR,31,"1,905","59,488","1,607,641",27,"7,700,000",129,0.1
1-00079-7503,1551-R1,71 NASSAU STREET,1,10038,40.709639,-74.008325,1,1,"1,502","1,001,215","1,000,797,503",Battery Park City-Lower Manhattan                                          ,FINANCIAL,R4-ELEVATOR,67,"1,906","66,575","2,425,000",36.4,"12,200,010",183,1-00078-0001,135 WILLIAM STREET,FINANCIAL,D7-ELEVATOR,31,"1,905","59,488","1,607,641",27,"7,700,000",129,0.1,1-00079-0010,17 JOHN STREET,FINANCIAL,D8-ELEVATOR,116,"1,920","107,243","3,956,253",36.9,"19,800,000",185,0
1-00090-7501,1121-R1,15 PARK ROW,1,10038,40.711508,-74.007679,1,1,"1,501","1,001,249","1,000,907,501",Battery Park City-Lower Manhattan                                          ,SOUTHBRIDGE,R4-ELEVATOR,210,"1,896","196,837","6,298,784",32,"28,799,999",146,1-00079-0010,17 JOHN STREET,FINANCIAL,D8-ELEVATOR,116,"1,920","107,243","3,956,253",36.9,"19,800,000",185,0.1,1-00077-0024,82 FULTON STREET,FINANCIAL,D7-ELEVATOR,208,"1,900","159,000","5,484,019",34.5,"26,300,000",165,0.2
1-00091-7501,1605-R1,119 FULTON STREET,1,10038,40.709932,-74.007149,1,1,"1,501","1,001,264","1,000,917,501",Battery Park City-Lower Manhattan                                          ,SOUTHBRIDGE,R4-ELEVATOR,19,"1,919","26,528","848,896",32,"4,069,999",153,1-00079-0010,17 JOHN STREET,FINANCIAL,D8-ELEVATOR,116,"1,920","107,243","3,956,253",36.9,"19,800,000",185,0.1,1-00106-0004,272 WATER STREET,SOUTHBRIDGE,D9-ELEVATOR,14,"1,900","16,424","508,656",31,"2,440,000",149,0.3
1-00095-7501,118-R1,117 BEEKMAN STREET,1,10038,40.707811,-74.003221,1,1,"1,501","1,001,292","1,000,957,501",Battery Park City-Lower Manhattan                                          ,SOUTHBRIDGE,R4-ELEVATOR,22,"1,983","37,170","1,300,000",35,"6,230,001",168,1-00079-0004,79 NASSAU STREET,FINANCIAL,D6-ELEVATOR,43,"1,987","30,400","1,346,703",44.3,"6,750,000",222,0.3,1-00079-0010,17 JOHN STREET,FINANCIAL,D8-ELEVATOR,116,"1,920","107,243","3,956,253",36.9,"19,800,000",185,0.3
1-00097-7502,1218-R1,130 BEEKMAN STREET,1,10038,40.707553,-74.003005,1,1,"1,501","1,001,345","1,000,977,502",Battery Park City-Lower Manhattan                                          ,SOUTHBRIDGE,R4-ELEVATOR,18,"1,900","23,044","795,000",34.5,"3,810,002",165,1-00097-0018,217 FRONT STREET,SOUTHBRIDGE,D7-ELEVATOR,32,"2,004","40,000","1,601,000",40,"8,030,000",201,0.04,1-00097-0024,225 FRONT STREET,SOUTHBRIDGE,C7-WALK-UP,12,"1,900","15,400","654,000",42.5,"3,280,000",213,0.04
1-00097-7503,1412-R1,220 FRONT STREET,1,10038,40.707427,-74.002352,1,1,"1,501","1,086,561","1,000,977,503",Battery Park City-Lower Manhattan                                          ,SOUTHBRIDGE,R4-ELEVATOR,15,"1,910","25,825","960,000",37.2,"4,560,000",177,1-00092-0017,47 ANN STREET,SOUTHBRIDGE,D9-ELEVATOR,13,"1,935","24,610","628,762",25.5,"2,730,000",111,0.3,1-00097-0001,119 SOUTH STREET,SOUTHBRIDGE,D7-ELEVATOR,19,"1,900","14,053","517,108",36.8,"2,590,000",184,0.04
1-00097-7504,1413-R1,214 FRONT STREET,1,10038,40.707333,-74.002532,1,1,"1,501","1,086,562","1,000,977,504",Battery Park City-Lower Manhattan                                          ,SOUTHBRIDGE,R4-ELEVATOR,15,"1,999","20,091","742,808",37,"3,530,000",176,1-00078-0001,135 WILLIAM STREET,FINANCIAL,D7-ELEVATOR,31,"1,905","59,488","1,607,641",27,"7,700,000",129,0.25,1-00097-0018,217 FRONT STREET,SOUTHBRIDGE,D7-ELEVATOR,32,"2,004","40,000","1,601,000",40,"8,030,000",201,0.04
1-00100-7501,1286-R1,150 NASSAU STREET,1,10038,40.711401,-74.006204,1,1,"1,501","1,087,756","1,001,007,501",Battery Park City-Lower Manhattan                                          ,SOUTHBRIDGE,R4-ELEVATOR,125,"1,900","168,889","5,404,448",32,"25,900,002",153,1-00079-0010,17 JOHN STREET,FINANCIAL,D8-ELEVATOR,116,"1,920","107,243","3,956,253",36.9,"19,800,000",185,0.2,,,,,,,,,,,,
1-00106-7502,1164-R1,324 PEARL STREET,1,10038,40.709074,-74.002207,1,1,"1,501","1,001,364","1,001,067,502",Battery Park City-Lower Manhattan                                          ,SOUTHBRIDGE,R4-ELEVATOR,49,"1,900","37,646","1,167,000",31,"5,589,997",148,1-00097-0024,225 FRONT STREET,SOUTHBRIDGE,C7-WALK-UP,12,"1,900","15,400","654,000",42.5,"3,280,000",213,0.1,1-00097-0030,36 PECK SLIP,SOUTHBRIDGE,C7-WALK-UP,12,"1,900","17,475","732,000",41.9,"3,670,000",210,0.1
1-00132-7501,401-R1,295 GREENWICH STREET,1,10007,40.716012,-74.011017,1,1,21,"1,066,187","1,001,377,502",SoHo-TriBeCa-Civic Center-Little Italy                                     ,TRIBECA,R4-ELEVATOR,128,"1,987","115,909","4,056,815",35,"19,399,996",167,1-00016-0210,399 CHAMBERS STREET,TRIBECA,D8-ELEVATOR,341,"1,998","357,000","13,358,015",37.4,"67,000,000",188,0.45,1-00140-0005,147 CHAMBERS STREET,TRIBECA,D9-ELEVATOR,124,"1,997","130,568","4,762,369",36.5,"23,900,000",183,0.04
1-00132-7501,401-R2,275 GREENWICH STREET,1,10007,40.715221,-74.01124,1,1,21,"1,081,076","1,001,327,501",SoHo-TriBeCa-Civic Center-Little Italy                                     ,TRIBECA,R4-ELEVATOR,133,"1,987","138,016","4,830,560",35,"23,100,002",167,1-00016-0210,399 CHAMBERS STREET,TRIBECA,D8-ELEVATOR,341,"1,998","357,000","13,358,015",37.4,"67,000,000",188,0.4,1-00140-0005,147 CHAMBERS STREET,TRIBECA,D9-ELEVATOR,124,"1,997","130,568","4,762,369",36.5,"23,900,000",183,0.1
1-00132-7503,1042-R1,71 MURRAY STREET,1,10007,40.714582,-74.010569,1,1,21,"1,001,421","1,001,327,503",SoHo-TriBeCa-Civic Center-Little Italy                                     ,TRIBECA,R4-ELEVATOR,11,"2,001","54,500","1,907,500",35,"9,140,000",168,1-00140-0005,147 CHAMBERS STREET,TRIBECA,D9-ELEVATOR,124,"1,997","130,568","4,762,369",36.5,"23,900,000",183,0.1,1-00170-0001,336 BROADWAY,CIVIC CENTER,D6-ELEVATOR,159,"1,999","139,697","6,496,079",46.5,"32,600,000",233,0.35
