MANHATTAN CONDOMINIUM PROPERTY Boro-Block-Lot,MANHATTAN CONDOMINIUM PROPERTY Condo Section,MANHATTAN CONDOMINIUM PROPERTY Address,Borough,Postcode,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA,MANHATTAN CONDOMINIUM PROPERTY Neighborhood,MANHATTAN CONDOMINIUM PROPERTY Building Classification,MANHATTAN CONDOMINIUM PROPERTY Total Units,MANHATTAN CONDOMINIUM PROPERTY Year Built,MANHATTAN CONDOMINIUM PROPERTY Gross SqFt,MANHATTAN CONDOMINIUM PROPERTY Est. Gross Income,MANHATTAN CONDOMINIUM PROPERTY Gross Income per SqFt,MANHATTAN CONDOMINIUM PROPERTY Full Market Value,MANHATTAN CONDOMINIUM PROPERTY Market Value per SqFt, COMPARABLE RENTAL 1 Boro-Block-Lot,COMPARABLE RENTAL 1 Address,COMPARABLE RENTAL 1  Neighborhood,COMPARABLE RENTAL 1  Building Classification,COMPARABLE RENTAL 1  Total Units,COMPARABLE RENTAL 1  Year Built,COMPARABLE RENTAL 1  Gross SqFt,COMPARABLE RENTAL 1  Est. Gross Income,COMPARABLE RENTAL 1  Gross Income per SqFt,COMPARABLE RENTAL 1 Full Market Value,COMPARABLE RENTAL 1  Market Value per SqFt,COMPARABLE RENTAL 1  Dist. from Coop in miles,COMPARABLE RENTAL 2  Boro-Block-Lot,COMPARABLE RENTAL 2  Address,COMPARABLE RENTAL 2  Neighborhood,COMPARABLE RENTAL 2  Building Classification,COMPARABLE RENTAL 2  Total Units,COMPARABLE RENTAL 2  Year Built,COMPARABLE RENTAL 2  Gross SqFt,COMPARABLE RENTAL 2  Est. Gross Income,COMPARABLE RENTAL 2  Gross Income per SqFt,COMPARABLE RENTAL 2  Full Market Value,COMPARABLE RENTAL 2  Market Value per SqFt,COMPARABLE RENTAL 2  Dist. from Coop in miles
1-01942-7502,1284-R1,2322 ADAM C POWELL BOULEV,1,,,,,,,,,,HARLEM-CENTRAL,R4-ELEVATOR,36,"1,933","38,386","767,720",20,"3,329,999",87,1-01914-0026,109 WEST 129 STREET,HARLEM-CENTRAL,D1-ELEVATOR,118,"1,910","42,050","1,140,553",27.1,"5,460,000",130,0.4,1-02088-0029,3441 BROADWAY,HARLEM-UPPER,D7-ELEVATOR,37,"1,910","42,860","656,580",15.32,"2,600,000",61,0.7
1-01943-7501,793-R1,352 WEST 117 STREET,1,10026,40.805804,-73.956578,10,9,"20,102","1,059,036","1,019,437,501",Central Harlem South                                                       ,HARLEM-CENTRAL,R4-ELEVATOR,41,"1,900","45,436","999,592",22,"4,339,997",96,1-01914-0026,109 WEST 129 STREET,HARLEM-CENTRAL,D1-ELEVATOR,118,"1,910","42,050","1,140,553",27.1,"5,460,000",130,0.75,1-02088-0029,3441 BROADWAY,HARLEM-UPPER,D7-ELEVATOR,37,"1,910","42,860","656,580",15.32,"2,600,000",61,1.3
1-01943-7502,1373-R1,364      368 WEST 117 STR,1,10026,40.805903,-73.956813,10,9,"20,102","1,059,039","1,019,437,502",Central Harlem South                                                       ,HARLEM-CENTRAL,R4-ELEVATOR,49,"1,901","66,936","1,405,656",21,"6,100,000",91,1-02098-0013,740 RIVERSIDE DRIVE,HARLEM-UPPER,D1-ELEVATOR,82,"1,930","76,138","1,298,653",17.06,"5,140,000",68,1.8,1-02098-0053,745 RIVERSIDE DRIVE,HARLEM-UPPER,D1-ELEVATOR,77,"1,930","58,254","1,198,758",20.58,"5,210,000",89,1.8
1-01944-7502,1190-R1,370 WEST 118 STREET,1,10026,40.806625,-73.956592,10,9,"20,102","1,059,082","1,019,447,502",Central Harlem South                                                       ,HARLEM-CENTRAL,R2-WALK-UP,49,"1,931","63,586",0,0,"5,100,001",80,1-01726-0069,370 LENOX AVENUE,HARLEM-CENTRAL,D7-ELEVATOR,47,"1,921","62,244","1,267,955",20.37,"5,510,000",89,0.8,1-01826-0036,1810 ADAM C POWELL BOULEV,HARLEM-CENTRAL,D1-ELEVATOR,48,"1,920","65,286","1,412,136",21.63,"6,130,000",94,0.4
1-01945-7502,1391-R1,309 WEST 118 STREET,1,10026,40.805897,-73.954797,10,9,257,"1,086,543","1,019,457,502",Central Harlem South                                                       ,HARLEM-CENTRAL,R4-ELEVATOR,48,"2,003","108,510","3,363,810",31,"16,100,000",148,1-01617-0001,1321 5 AVENUE,HARLEM-EAST,D7-ELEVATOR,77,"1,989","102,811","2,986,399",29,"14,300,000",139,0.7,1-01624-0045,1501 LEXINGTON AVENUE,HARLEM-EAST,D6-ELEVATOR,161,"2,001","133,370","5,185,134",38.9,"26,000,000",195,1.45
1-01945-7504,1762-R1,2187 FRED DOUGLASS BOULEV,1,,,,,,,,,,HARLEM-CENTRAL,R4-ELEVATOR,93,"2,006","108,572","3,257,160",30,"15,599,991",144,1-01617-0001,1321 5 AVENUE,HARLEM-EAST,D7-ELEVATOR,77,"1,989","102,811","2,986,399",29,"14,300,000",139,0.7,1-01624-0045,1501 LEXINGTON AVENUE,HARLEM-EAST,D6-ELEVATOR,161,"2,001","133,370","5,185,134",38.9,"26,000,000",195,1.45
1-01946-7501,1681-R1,313 WEST 119 STREET,1,10026,40.806561,-73.954421,10,9,257,"1,087,509","1,019,467,501",Central Harlem South                                                       ,HARLEM-CENTRAL,R4-ELEVATOR,54,"2,006","67,413","2,022,390",30,"9,689,999",144,1-01617-0001,1321 5 AVENUE,HARLEM-EAST,D7-ELEVATOR,77,"1,989","102,811","2,986,399",29,"14,300,000",139,0.75,1-01595-0031,1330 5 AVENUE,HARLEM-CENTRAL,D7-ELEVATOR,88,"1,989","113,070","2,966,550",26.2,"12,900,000",114,0.65
1-01947-7501,1289-R1,2235 FRED DOUGLASS BOULEV,1,,,,,,,,,,HARLEM-CENTRAL,R9-CONDOPS,74,"2,003","93,600","2,808,000",30,"12,900,000",138,1-01617-0001,1321 5 AVENUE,HARLEM-EAST,D7-ELEVATOR,77,"1,989","102,811","2,986,399",29,"14,300,000",139,0.75,1-01624-0045,1501 LEXINGTON AVENUE,HARLEM-EAST,D6-ELEVATOR,161,"2,001","133,370","5,185,134",38.9,"26,000,000",195,1.5
1-01955-7501,1340-R1,368 ST NICHOLAS AVENUE,1,10027,40.812864,-73.950631,10,9,215,"1,059,395","1,019,557,501",Central Harlem North-Polo Grounds                                          ,HARLEM-CENTRAL,R2-WALK-UP,15,"1,910","23,765","522,830",22,"2,270,000",96,1-01993-0088,3157 BROADWAY,MORNINGSIDE HEIGHTS,C7-WALK-UP,48,"1,905","32,961","640,179",19.42,"2,780,000",84,0.5,1-02076-0049,524 WEST 145 STREET,HARLEM-UPPER,C7-WALK-UP,48,"1,920","64,560","1,411,552",21.86,"6,130,000",95,0.9
1-01959-7501,1423-R1,300 WEST 135 STREET,1,10030,40.816523,-73.946621,10,9,"22,102","1,087,286","1,019,597,501",Central Harlem North-Polo Grounds                                          ,HARLEM-CENTRAL,R4-ELEVATOR,170,"2,003","240,000","6,000,000",25,"26,100,001",109,1-01672-0017,327 EAST 100 STREET,HARLEM-EAST,D6-ELEVATOR,236,"2,003","250,090","5,686,466",22.74,"24,700,000",99,2.05,1-01624-0033,1710 3 AVENUE,HARLEM-EAST,D9-ELEVATOR,526,"1,990","509,090","17,154,370",33.7,"82,200,000",161,2.1
